"termine_inglese","italiano_preferito","dominio","trattamento","nota"
"Service Fee","Commissione di servizio","transazioni","tradurre",""
"Transaction","Transazione","transazioni","tradurre",""
"Current Balance","Saldo attuale","transazioni","tradurre",""
"Full Service","Servizio completo","manutenzione veicoli","tradurre",""
"Refuel Hydrogen","Rifornisci idrogeno","manutenzione veicoli","tradurre",""
"Refuel Quantum","Rifornisci carburante quantico","manutenzione veicoli","tradurre",""
"Restock","Rifornisci dotazioni","manutenzione veicoli","tradurre","Specificare munizioni o missili quando indicato"
"Cooldown","Periodo di attesa","interfaccia e regole","tradurre","Tempo obbligatorio prima di poter ripetere un'azione; evitare il prestito inglese"
"Hacking","Intrusione informatica","sicurezza informatica","tradurre","Accesso non autorizzato a sistemi e reti"
"Hotkey","Tasto rapido","comandi","tradurre","Tasto che attiva direttamente una funzione"
"DDoS","Sovraccarico","intrusione informatica","tradurre","Abilità che simula un attacco distribuito di negazione del servizio"
"Hacking Chip","Scheda d'intrusione","intrusione informatica","tradurre","Supporto fisico consumabile necessario per l'accesso"
"Hacking Device","Dispositivo d'intrusione","intrusione informatica","tradurre","Strumento usato per violare un sistema"
"Agent","Agente","intrusione informatica","tradurre","Elemento controllato dal giocatore all'interno della rete"
"Wrap","Connessione circolare","intrusione informatica","tradurre","Collegamento tra bordi opposti della rete"
"Swap","Scambio","intrusione informatica","tradurre","Sostituzione della posizione di due nodi"
"Trojan","Programma ostile","sicurezza informatica","tradurre","Programma malevolo introdotto nel sistema bersaglio"
"Anti Virus","Antivirus","sicurezza informatica","tradurre","Sistema che rileva e blocca il programma d'intrusione"
"Link Point","Punto di collegamento","intrusione informatica","tradurre","Nodo che consente di collegare frammenti di dati"
"Private Key","Chiave privata","crittografia","tradurre","Chiave segreta ottenuta al termine dell'intrusione"
"Backup","Copia di sicurezza / rinforzi","informatica e combattimento","contestuale","Copia usata per ripristinare dati danneggiati; nei dialoghi operativi indica rinforzi o supporto"
"T-Junction","Giunzione a T","reti","tradurre","Nodo con tre collegamenti disposti a forma di T"
"Corridor","Corridoio","reti","tradurre","Nodo con due collegamenti opposti"
"Sensitive Data Fragment","Frammento di dati sensibili","intrusione informatica","tradurre","Obiettivo da identificare, decifrare e collegare"
"Port Node","Nodo porta","intrusione informatica","tradurre","Nodo esposto che consente l'accesso a una rete"
"Access Code","Codice di accesso","sicurezza informatica","tradurre","Credenziale temporanea necessaria per l'intrusione"
"Threat Level","Livello di minaccia","sicurezza informatica","tradurre","Grado di allerta del sistema difensivo"
"Call Sign","Indicativo di chiamata","identificazione","tradurre","Nome radio operativo di una nave o persona"
"Shipyard","Cantiere navale","infrastrutture di volo","tradurre","Impianto per costruire e manutenere astronavi"
"Housing Exchange","Complesso residenziale","abitazioni","tradurre","Struttura abitativa economica indicata dalla sigla HEX"
"Dogfight","Scontro tra astronavi","combattimento tra veicoli","tradurre","Combattimento ravvicinato manovrato tra velivoli"
"High-tech","Alta tecnologia","stile e architettura","tradurre",""
"Low-tech","Bassa tecnologia","stile e architettura","tradurre",""
"PIP","Punto d'impatto previsto (PIP)","mira dei veicoli","tradurre_o_sigla","Indicatore della posizione in cui un proiettile intercetterà il bersaglio"
"Lag PIP","Punto d'impatto a inseguimento","mira dei veicoli","tradurre","Indicatore da sovrapporre direttamente alla parte del bersaglio che si desidera colpire"
"Staggered Firing","Fuoco alternato","armamenti dei veicoli","tradurre","Fa sparare le armi in sequenza anziché simultaneamente"
"G-Safe","Protezione G","pilotaggio","contestuale","Nel testo esteso tradurre; nelle etichette tecniche compatte conservare il nome canonico G-Safe"
"Spacebrake","Freno spaziale","pilotaggio","tradurre","Comando di frenata mediante i propulsori di manovra"
"Speed Limiter","Limitatore di velocità","pilotaggio","tradurre","Imposta la velocità massima comandabile"
"MFD Cast","Proiezione dello schermo multifunzione","schermi di bordo","tradurre","Trasferimento o duplicazione di una visuale tra schermi"
"Dashboard","Cruscotto","interfaccia di bordo","tradurre","Area generale degli strumenti di pilotaggio"
"I/O Matrix","Matrice ingresso/uscita","sistemi tecnici","tradurre","Matrice dei segnali in entrata e in uscita"
"Exchanger","Scambiatore","impianti tecnici","tradurre","Dispositivo che trasferisce calore o risorse tra circuiti"
"Core Analyser","Analizzatore del nucleo","diagnostica","tradurre","Strumento di analisi del componente centrale"
"Power Grid","Rete energetica","sistemi tecnici","tradurre","Rete che distribuisce energia ai componenti"
"Survey","Rilevamento","esplorazione","tradurre","Raccolta sistematica di dati su un'area o un oggetto"
"Heading","Direzione","navigazione","tradurre","Direzione verso cui è orientato il veicolo"
"Data Tracker","Rilevatore dei dati","analisi","tradurre","Pannello che segue l'andamento dei dati"
"Security Overview","Panoramica sicurezza","sicurezza","tradurre","Riepilogo dello stato dei sistemi di sicurezza"
"Output Level","Livello di uscita","sistemi tecnici","tradurre","Intensità o quantità prodotta da un sistema"
"Vital Signs","Parametri vitali","medicina","tradurre","Valori fisiologici fondamentali del paziente"
"Helm","Pilotaggio","postazioni di bordo","tradurre","Postazione responsabile della conduzione della nave"
"Co-Helm","Copilotaggio","postazioni di bordo","tradurre","Postazione ausiliaria di pilotaggio"
"Holo Globe","Globo olografico","visualizzazione","tradurre","Rappresentazione tridimensionale olografica"
"Aspect Ratio","Rapporto d'aspetto","interfaccia tecnica","tradurre","Rapporto tra larghezza e altezza dell'immagine"
"Acceleration Limiter","Limitatore di accelerazione","pilotaggio","tradurre","Imposta l'accelerazione massima comandabile"
"Pitch Ladder","Scala di beccheggio","strumenti di volo","tradurre","Riferimento graduato dell'assetto verticale"
"Auto Targeting","Puntamento automatico","mira dei veicoli","tradurre","Selezione automatica del bersaglio"
"Capacitor Assignment","Assegnazione dei condensatori","gestione energetica","tradurre","Distribuzione dell'energia tra motori, scudi e armi"
"G-Meter","Accelerometro","strumenti di volo","tradurre","Misura le forze G subite dal veicolo"
"Throttle","Manetta","pilotaggio","tradurre","Comando longitudinale della spinta o della velocità"
"Trim","Regolazione","pilotaggio","tradurre","Valore di comando mantenuto senza pressione continua"
"Flight Operator Mode","Modalità operatore di volo","modalità operative","tradurre","Modalità dedicata alla conduzione del veicolo"
"Guns Operator Mode","Modalità operatore degli armamenti","modalità operative","tradurre","Modalità dedicata alle armi balistiche ed energetiche"
"Show Filters","Mostra filtri","interfaccia","tradurre",""
"Hide Filters","Nascondi filtri","interfaccia","tradurre",""
"Object Information","Informazioni sull'oggetto","inventario","tradurre",""
"Medical Bay","Infermeria","medicina","tradurre","Area sanitaria di nave o struttura"
"Bleeding Out","Emorragia grave","medicina","tradurre","Condizione di perdita di sangue in corso"
"Injury","Lesione","medicina","tradurre",""
"Partial Paralysis","Paralisi parziale","medicina","tradurre",""
"Pulmonary Haemorrhage","Emorragia polmonare","medicina","tradurre",""
"Affinity","Affinità","reputazione","tradurre","Rapporto personale con un contatto o un'organizzazione"
"Confidence","Affidabilità","reputazione","tradurre","Fiducia maturata completando incarichi con successo"
"Standing","Condotta","reputazione e legalità","tradurre","Asse legale o criminale nella schermata Delphi"
"Faction","Fazione","reputazione","tradurre",""
"Area of Operation","Area operativa","organizzazioni","tradurre",""
"Headquarters","Sede centrale","organizzazioni","tradurre",""
"Instance","Istanza","multigiocatore","tradurre","Sessione separata del mondo di gioco"
"Party Launch","Partenza della squadra","multigiocatore","tradurre","Ingresso coordinato della squadra in un'istanza"
"Global Chat","Conversazione globale","comunicazioni","tradurre",""
"Grace Period","Periodo di tolleranza","interfaccia","tradurre",""
"Coronal Mass Ejection","Espulsione di massa coronale","pericoli ambientali","tradurre",""
"Solar Flare","Brillamento solare / Solar Flare","pericoli ambientali e livree","contestuale","Tradurre come brillamento solare per il fenomeno; mantenere Solar Flare come nome canonico della livrea"
"Hauling","Trasporto merci","missioni","tradurre","Attività logistica con carichi commerciali"
"Service Beacon","Segnalatore di servizio","missioni","tradurre","Richiesta di assistenza pubblicata dai giocatori"
"Courier","Corriere","missioni","tradurre",""
"Delivery","Consegna","missioni","tradurre",""
"Escort","Scorta","missioni","tradurre",""
"PvP Mission","Missione contro altri giocatori","missioni","tradurre","Non mantenere la sigla inglese nel testo visibile"
"Cart","Carrello","negozi","tradurre","Carrello degli acquisti"
"Featured Item","Prodotto in evidenza","negozi","tradurre",""
"Journal Entry","Voce del Diario","mobiGlas","tradurre",""
"Audio Log","Registrazione audio","mobiGlas","tradurre",""
"Service Beacon Rating","Valutazione dei servizi","missioni","tradurre","Requisito o giudizio collegato ai segnalatori di servizio"
"Performance Rating","Valutazione delle prestazioni","missioni","tradurre","Giudizio sul fornitore del servizio"
"Employer Rating","Valutazione del committente","missioni","tradurre","Giudizio su chi richiede il servizio"
"Checkpoint","Punto di controllo","gare","tradurre",""
"Vehicle Valet","Gestione veicoli","mobiGlas","tradurre","Servizio per richiedere e mantenere i veicoli"
"Bricked","Inutilizzabile","componenti","tradurre","Componente disattivato e non più operativo"
"Local Jurisdiction","Giurisdizione locale","legalità","tradurre",""
"Datapad","Tavoletta dati","oggetti narrativi","tradurre","Dispositivo portatile contenente messaggi e registri"
"Recovered Comm","Comunicazione recuperata","oggetti narrativi","tradurre",""
"Recovered Data","Dati recuperati","oggetti narrativi","tradurre",""
"Stress Test","Prova di carico","ingegneria","tradurre","Verifica di un sistema sotto carico elevato"
"Beneficiary Claim","Richiesta di indennizzo del beneficiario","assicurazioni","tradurre",""
"Insurance Claim","Richiesta di indennizzo","assicurazioni","tradurre",""
"Claims Adjuster","Liquidatore sinistri","assicurazioni","tradurre",""
"Internal Appeal","Ricorso interno","assicurazioni","tradurre",""
"Passcode","Codice di accesso","sicurezza","tradurre",""
"Master Override Code","Codice di accesso generale","sicurezza","tradurre","Codice superiore che sostituisce quelli personali"
"Unlock Code","Codice di sblocco","sicurezza","tradurre",""
"Scan Protocol","Protocollo di scansione","sicurezza","tradurre",""
"Employee Review","Valutazione del personale","organizzazioni","tradurre",""
"Hauler","Trasportatore","logistica","tradurre","Pilota o operatore addetto al trasporto merci"
"Cargo Manifest","Manifesto di carico","logistica","tradurre",""
"Server Log","Registro del server","sistemi","tradurre",""
"Power System Overheating","Surriscaldamento del sistema energetico","sistemi","tradurre",""
"Decompression Detected","Rilevata decompressione","sistemi","tradurre",""
"Emergency Flight Data","Dati di volo d'emergenza","registratori di bordo","tradurre",""
"Ship RegTag","Contrassegno di registrazione nave / contrassegno di registrazione","registrazione veicoli","contestuale","Usare la forma completa nelle etichette; nel dialogo è ammessa la forma breve quando la nave è già il soggetto"
"Unknown Ship","Nave sconosciuta","registrazione veicoli","tradurre",""
"Art Installation","Installazione artistica","arte e cultura","tradurre","Opera concepita per uno spazio specifico"
"Hab","Alloggio","ambienti","tradurre","Unità abitativa personale"
"Ideation Journal","Diario delle idee","arte e cultura","tradurre",""
"Vending Machine","Distributore automatico","ambienti","tradurre",""
"Service Technician","Tecnico di assistenza","professioni","tradurre",""
"Scrap Yard","Deposito di rottami","luoghi","tradurre",""
"Casefile","Fascicolo","sicurezza","tradurre",""
"NPC","PNG","interfaccia","tradurre","Personaggio non giocante; usare la sigla italiana"
"EVA Fuel","Carburante extraveicolare","tute","tradurre","Carburante usato durante le attività extraveicolari"
"Suit Oxygen","Ossigeno della tuta","tute","tradurre",""
"Comm Technician","Tecnico delle comunicazioni","professioni","tradurre",""
"Hard Reset","Ripristino forzato","sistemi","tradurre","Riavvio fisico sul posto di un'infrastruttura"
"Travel Advisory","Avviso ai viaggiatori","sicurezza","tradurre",""
"Complimentary Shuttle","Navetta gratuita","trasporti","tradurre",""
"Facilities Manager","Responsabile delle strutture","professioni","tradurre",""
"Remuneration","Compenso","incarichi","tradurre",""
"Termination Notice","Comunicazione di cessazione","rapporti di lavoro","tradurre",""
"Air Filtration System","Sistema di filtraggio dell'aria","strutture","tradurre",""
"CommRelay","Ripetitore di comunicazioni","comunicazioni","tradurre","Forma compatta usata nei nomi delle infrastrutture"
"Meritorious Service","Servizio meritorio","ricompense","tradurre",""
"Loading Area","Area di carico","carico","tradurre","Zona assegnata al veicolo per i trasferimenti"
